time,open,high,low,close,Volume,Volume MA
2017-12-15T00:00:00Z,679.01,689,594.6,673.75,39752.26693,37159.4089785
2017-12-16T00:00:00Z,674.95,712,669.22,680.33,26879.68669,37418.8374335
2017-12-17T00:00:00Z,682.17,728,680.34,705.03,31380.84008,37799.8237295
2017-12-18T00:00:00Z,706.35,798.88,638,784,45668.66784,38884.894713500005
2017-12-19T00:00:00Z,784,864.9,729.01,798,69423.62125,39790.4009905
2017-12-20T00:00:00Z,798,828,661,790.21,72526.28416,41157.504066
2017-12-21T00:00:00Z,794.62,845.99,705.98,782.41,78222.53998,43415.0200675
2017-12-22T00:00:00Z,784,796,504.99,635.97,154630.49482,49856.7378085
2017-12-23T00:00:00Z,635.15,714.99,627.97,640.34,79001.05634,52582.287627
2017-12-24T00:00:00Z,640.33,667.64,563.49,658,95431.94156,56199.36121050001
2017-12-25T00:00:00Z,659.4,744,599.99,714.95,78544.84102,58855.63548450001
2017-12-26T00:00:00Z,713.12,750,712.56,750,60052.47905,59927.83385950001
2017-12-27T00:00:00Z,750,766.05,693.18,739.89,51339.2782,60427.63266100001
2017-12-28T00:00:00Z,739.89,744.93,645.88,707.89,72679.61288,62007.703171
2017-12-29T00:00:00Z,709.5,757.87,703,733.99,64028.12647,63113.81049050001
2017-12-30T00:00:00Z,732.9,735,635.82,681.06,89879.99994,65861.77906700001
2017-12-31T00:00:00Z,680.01,740,672.86,733.98,62628.24458,67504.12779800002
2018-01-01T00:00:00Z,733.01,763.55,716.8,754.99,53909.25885,67230.62738600002
2018-01-02T00:00:00Z,754.99,899.5,749.06,855.28,113257.78355,70007.96632700003
2018-01-03T00:00:00Z,855.13,950.01,810,934.03,89041.45688,71413.92405350003
2018-01-04T00:00:00Z,934.03,1009.72,890.01,940,102894.47384,74571.03439900003
2018-01-05T00:00:00Z,940,1045,930,959.3,97374.0163,78095.75087950003
2018-01-06T00:00:00Z,958,1017.56,950,1004.11,71954.27895,80124.42282300003
2018-01-07T00:00:00Z,1003.71,1125,999.9,1123.09,65278.81957,81104.93040950004
2018-01-08T00:00:00Z,1123.09,1239.18,910,1133.18,158831.54798,85575.32674600004
2018-01-09T00:00:00Z,1133.18,1326.5,1104.85,1291,118702.88684,87884.15688000004
2018-01-10T00:00:00Z,1291,1440,1201.1,1247,160185.0129,91982.28052600003
2018-01-11T00:00:00Z,1249.03,1332.49,1021,1138.93,194546.29387,93978.07047850003
2018-01-12T00:00:00Z,1136.45,1288.5,1069.01,1253.87,93763.47261,94716.19129200003
2018-01-13T00:00:00Z,1253.87,1427.01,1252,1388.02,75893.43201,93739.26581450005
2018-01-14T00:00:00Z,1388.1,1391.89,1220.89,1347,98391.19585,94731.58355600006
2018-01-15T00:00:00Z,1347.99,1383.13,1258.12,1271,69236.70476,95190.79484150004
2018-01-16T00:00:00Z,1268.67,1275.01,780,1000,343889.36509,109818.29918600005
2018-01-17T00:00:00Z,999.99,1075.51,755,1000,436333.67326,128001.00220500006
2018-01-18T00:00:00Z,1000,1075.2,924.21,994,294545.71207,139526.88148500005
2018-01-19T00:00:00Z,993.3,1079,941,1032.5,167954.11253,143430.58711450006
2018-01-20T00:00:00Z,1032.5,1165.4,1031,1152.75,123352.58362,146466.80406650004
2018-01-21T00:00:00Z,1150.37,1152.69,998,1049,175031.00789,152522.89151850005
2018-01-22T00:00:00Z,1049,1090.15,908,993,185212.52002,156120.62834200007
2018-01-23T00:00:00Z,993,1030,909,980,160159.63958,159676.5374770001
2018-01-24T00:00:00Z,981.2,1074,953.09,1061,134257.7947,161244.70352000007
2018-01-25T00:00:00Z,1060.34,1115,1030.26,1056.52,119415.93495,162346.7994525001
2018-01-26T00:00:00Z,1055.29,1082,986,1051.03,145113.638,166004.76740500008
2018-01-27T00:00:00Z,1051.03,1127.99,1032.2,1118.99,96894.33839,167585.54334600008
2018-01-28T00:00:00Z,1118.99,1277,1112,1251.96,143510.73586,166819.50274000008
2018-01-29T00:00:00Z,1251.96,1258.89,1161.65,1177.01,105292.76808,166148.9968020001
2018-01-30T00:00:00Z,1177.01,1186.85,1051,1085.5,155278.55404,165903.6738590001
2018-01-31T00:00:00Z,1084.63,1135,1029,1124.81,100372.03783,161194.96105700007
2018-02-01T00:00:00Z,1125.96,1164.99,981,1041.94,203355.29052,166674.55195250007
2018-02-02T00:00:00Z,1041.89,1047.2,783.67,922.3,377375.22874,181748.64178900007
2018-02-03T00:00:00Z,923.67,998,851,971,160037.88129,184830.97606100008
2018-02-04T00:00:00Z,971,975,789,823.56,186446.0316,190691.44240300005
2018-02-05T00:00:00Z,821.6,862.47,634.94,697.92,365506.88295,191772.31829600007
2018-02-06T00:00:00Z,697.93,798,570.1,779.25,648944.4204,202402.85565300006
2018-02-07T00:00:00Z,779.99,849,714.18,754,356403.4441,205495.74225450007
2018-02-08T00:00:00Z,753.19,786.93,751,781.66,10516.2619,197623.84972300005
2018-02-09T00:00:00Z,781.66,882.2,781.66,876.27,95465.0979,196229.47543700004
2018-02-10T00:00:00Z,876.28,911.2,800,851.15,214800.64267,198217.95717600005
2018-02-11T00:00:00Z,851.15,857,768.28,808.99,189323.408,198423.50157500003
2018-02-12T00:00:00Z,808.58,877.56,807.46,866.66,143586.93121,197594.8661565
2018-02-13T00:00:00Z,866.39,871,820,841.57,110305.93537,196397.27319000004
2018-02-14T00:00:00Z,841.57,924.99,841.3,919.09,150342.85558,197943.61922150003
2018-02-15T00:00:00Z,919.09,946.66,895.59,924.55,155637.78524,198469.82658350005
2018-02-16T00:00:00Z,924.55,948.48,901.36,938.67,115540.16349,199402.11783850004
2018-02-17T00:00:00Z,938.6,974,933.48,969.99,110091.03618,197731.13285450003
2018-02-18T00:00:00Z,969.99,978.5,897,911,160129.79518,200472.98420950005
2018-02-19T00:00:00Z,911,956.22,906.04,938.11,80099.49534,196714.03127450004
2018-02-20T00:00:00Z,939.17,961,873,882.99,120056.67502,197698.26313400007
2018-02-21T00:00:00Z,882.99,908.88,812.87,835.89,176200.55151,196340.52618350007
2018-02-22T00:00:00Z,836.35,871.96,786.6,801.49,137561.85113,184349.85730300006
2018-02-23T00:00:00Z,801.47,885,785.99,851.6,154507.41338,184073.33390750005
2018-02-24T00:00:00Z,851.59,875,805,833.94,89311.5794,179216.61129750006
2018-02-25T00:00:00Z,833.92,849.5,813.18,841.19,59431.26474,163912.83038700005
2018-02-26T00:00:00Z,841.46,882,833,867.98,74911.4656,135211.18264700007
2018-02-27T00:00:00Z,867.98,897.49,860.69,870.11,63487.68425,120565.39465450007
2018-02-28T00:00:00Z,871.84,891,850.3,853.5,53620.45209,122720.60416400006
2018-03-01T00:00:00Z,853.5,879.96,848.65,870.63,43785.00503,120136.59952050008
2018-03-02T00:00:00Z,870.63,876.22,850,856.28,39436.26006,111368.38039000006
2018-03-03T00:00:00Z,856.27,870.78,852.3,856.02,34170.2942,103610.72470000005
2018-03-04T00:00:00Z,856.51,868,836.24,866.66,29439.58002,97903.35714050005
2018-03-05T00:00:00Z,866.61,871.75,847.2,849.84,30567.79813,93916.45027850005
2018-03-06T00:00:00Z,849.81,853.18,803.01,813.11,48658.06883,88832.21094100006
2018-03-07T00:00:00Z,813.31,826.2,718.4,749.9,109013.2838,86500.98586900005
2018-03-08T00:00:00Z,749.02,772.07,684,695.46,76312.77819,84539.61660400005
2018-03-09T00:00:00Z,695.48,727.92,640,723.71,116545.37303,84862.33344650004
2018-03-10T00:00:00Z,723.65,745,673.06,680.58,63012.67972,80006.47767350005
2018-03-11T00:00:00Z,680.58,735,659.15,720.85,73967.35869,79699.87084100004
2018-03-12T00:00:00Z,721,740.5,676.31,697.11,67732.85988,77083.68008400004
2018-03-13T00:00:00Z,696.52,713.76,680,689.94,55735.18315,71060.41166600004
2018-03-14T00:00:00Z,690.16,703.54,585,610.1,89904.25415,68677.53181700004
2018-03-15T00:00:00Z,610.1,621.12,570,608.83,94426.72453,65673.49737450003
2018-03-16T00:00:00Z,608.83,625.3,584.15,599.05,64720.20994,64443.92890150003
2018-03-17T00:00:00Z,599.03,609.26,544,546.95,68022.4592,64873.48862450003
2018-03-18T00:00:00Z,547.98,560,450,537,248817.226,73568.77664450003
2018-03-19T00:00:00Z,537.39,560,515.8,556.88,184798.77062,79634.33096300004
2018-03-20T00:00:00Z,556.88,567.87,515,557,135424.94318,83724.55551750003
2018-03-21T00:00:00Z,557,590.52,545.11,559.17,117019.17321,87386.26392650002
2018-03-22T00:00:00Z,559.15,578.6,516,539.92,111106.19916,90969.76088150003
2018-03-23T00:00:00Z,539.78,544.72,506.71,543.03,106400.91831,94581.29208700004
2018-03-24T00:00:00Z,543.2,545.99,518.63,520.22,87710.78945,97494.85255850005
2018-03-25T00:00:00Z,521.17,536,512,523.74,71903.1713,99561.62121700004
2018-03-26T00:00:00Z,523.95,527.67,465.56,485,151057.22944,104681.57924750003
2018-03-27T00:00:00Z,485,491.55,446,448.5,138188.76042,106140.35307850005
2018-03-28T00:00:00Z,448.5,466,440.14,446.67,89895.47885,106819.48811150005
2018-03-29T00:00:00Z,446.07,449.43,380,384,225341.94316,112259.31661800004
2018-03-30T00:00:00Z,383.87,412.04,366,392.43,292254.79437,123721.42235050006
2018-03-31T00:00:00Z,392.4,419.4,388.52,393.92,167833.59399,128414.73411550005
2018-04-01T00:00:00Z,393.93,399.91,356.9,378.58,150493.99422,132552.79083250006
2018-04-02T00:00:00Z,378.58,394.87,375,385.05,113242.14191,135428.13877050005
2018-04-03T00:00:00Z,385,419.08,380.13,415.01,137897.55565,137827.80384550005
2018-04-04T00:00:00Z,415,416.5,370,378.16,140598.39668,140136.38745300006
2018-04-05T00:00:00Z,378.15,387.03,365.61,381.22,120314.05875,142916.07989350005
2018-04-06T00:00:00Z,381.56,385.91,362.54,368.89,74458.69141,143237.89150400006
2018-04-07T00:00:00Z,368.89,394.75,368.28,384.51,71463.42848,134370.20162800007
2018-04-08T00:00:00Z,384.51,404.05,384,400.4,57395.52936,128000.03956500006
